NEXEC,FUNC,OPT,LR,HLAYERS,NEURONS,MEAN_ERROR,TRAIN_TIME
1,1,sgd,0.01,1,5,0.14680816233158112,56.30550718307495
1,1,sgd,0.01,1,10,0.13998693227767944,82.56321740150452
1,1,adam,0.01,1,5,0.16200605034828186,89.94775152206421
1,1,sgd,0.01,1,100,0.10736744105815887,92.55715322494507
1,1,adam,0.01,1,10,0.12196097522974014,92.20239019393921
1,1,adagrad,0.01,1,5,0.2722906470298767,89.15627455711365
1,1,sgd,0.01,1,1000,0.15278759598731995,87.48231196403503
1,1,adam,0.01,1,100,0.14182665944099426,92.76790142059326
1,1,adagrad,0.01,1,10,0.19732379913330078,116.1417806148529
1,1,sgd,0.01,1,10000,0.38443782925605774,138.42253971099854
1,1,adam,0.01,1,1000,0.1087009459733963,142.1161379814148
1,1,adagrad,0.01,1,100,0.14719459414482117,138.07515907287598
1,1,adam,0.01,1,10000,1.0605518817901611,141.37992024421692
1,1,adagrad,0.01,1,1000,0.03103375993669033,120.22134280204773
1,1,adagrad,0.01,1,10000,0.159480020403862,102.5109395980835
1,2,sgd,0.01,1,5,5.957286357879639,400.42512106895447
1,2,adam,0.01,1,5,5.797555446624756,369.53017950057983
1,2,adagrad,0.01,1,5,8.87971019744873,350.2388505935669
1,2,sgd,0.01,1,10,5.9852142333984375,342.9822132587433
1,2,adam,0.01,1,10,6.097782135009766,343.36905312538147
1,2,adagrad,0.01,1,10,8.836465835571289,351.1956944465637
1,2,sgd,0.01,1,100,5.9114484786987305,349.9517774581909
1,2,adam,0.01,1,100,5.723019123077393,344.4779796600342
1,2,adagrad,0.01,1,100,8.958704948425293,351.020010471344
1,2,sgd,0.01,1,1000,6.095950603485107,375.4030592441559
1,2,adam,0.01,1,1000,6.518477439880371,391.8670663833618
1,2,adagrad,0.01,1,1000,8.849220275878906,395.5631420612335
1,2,sgd,0.01,1,10000,5.9823150634765625,1005.9819533824921
1,3,sgd,0.01,1,5,0.34761157631874084,147.8506715297699
1,3,sgd,0.01,1,10,0.3324686884880066,148.62666010856628
1,3,sgd,0.01,1,100,0.22848102450370789,142.5853407382965
1,3,sgd,0.01,1,1000,0.12211723625659943,132.1454644203186
1,2,adam,0.01,1,10000,5.3053483963012695,1685.6323075294495
1,3,sgd,0.01,1,10000,0.31132081151008606,271.36822414398193
1,4,sgd,0.01,1,5,0.4872501492500305,60.13087248802185
1,4,sgd,0.01,1,10,0.3870481252670288,53.844590187072754
1,2,adagrad,0.01,1,10000,8.906710624694824,1688.599468946457
1,3,adam,0.01,1,5,0.19945019483566284,149.1148567199707
1,4,sgd,0.01,1,100,0.3689243197441101,61.384732246398926
1,4,sgd,0.01,1,1000,0.20968450605869293,99.40135264396667
1,3,adagrad,0.01,1,5,0.37366849184036255,191.15986609458923
1,3,adam,0.01,1,10,0.1556786447763443,194.57332062721252
1,4,sgd,0.01,1,10000,0.13150201737880707,99.82883191108704
1,5,sgd,0.01,1,5,0.5237557888031006,96.23962664604187
1,3,adagrad,0.01,1,10,0.27884024381637573,197.1749198436737
1,3,adam,0.01,1,100,0.12028311938047409,196.3321018218994
1,5,sgd,0.01,1,10,0.522894561290741,106.68670511245728
1,5,sgd,0.01,1,100,0.523048460483551,112.64828109741211
1,3,adagrad,0.01,1,100,0.12138602137565613,219.18029975891113
1,3,adam,0.01,1,1000,0.8244908452033997,222.74640607833862
1,5,sgd,0.01,1,1000,0.5246986150741577,97.44019293785095
1,5,sgd,0.01,1,10000,0.5295582413673401,94.43432569503784
1,3,adagrad,0.01,1,1000,0.10380488634109497,230.19655752182007
1,1,sgd,0.001,1,5,0.18017400801181793,83.57493305206299
1,1,sgd,0.001,1,10,0.1742626130580902,73.90889024734497
1,1,sgd,0.001,1,100,0.15892155468463898,69.98598861694336
1,1,sgd,0.001,1,1000,0.1288670152425766,69.99042224884033
1,3,adam,0.01,1,10000,4.146064281463623,450.18504309654236
1,1,sgd,0.001,1,10000,0.15870064496994019,101.17411923408508
1,4,adam,0.01,1,5,0.5198363661766052,95.82572841644287
1,4,adam,0.01,1,10,0.9427337050437927,68.82968807220459
1,3,adagrad,0.01,1,10000,0.3193076252937317,441.88871240615845
1,4,adam,0.01,1,100,0.6540780663490295,76.77770185470581
1,4,adagrad,0.01,1,5,0.6657112836837769,96.09548211097717
1,4,adam,0.01,1,1000,0.30632954835891724,97.34017515182495
1,4,adagrad,0.01,1,10,0.5573797821998596,88.5245132446289
1,4,adam,0.01,1,10000,0.7514798045158386,84.70669770240784
1,2,sgd,0.001,1,5,4.4726786613464355,368.4553952217102
1,4,adagrad,0.01,1,100,0.3441014587879181,76.15447425842285
1,5,adam,0.01,1,5,0.24760112166404724,88.28734588623047
